Value   Red   Green   Blue   
13   0.0085683521   0.0141666249   0.0191131870   
14   0.0078632221   0.0148717439   0.0171901085   
15   0.0079273210   0.0148824210   0.0165490781   
16   0.0071687737   0.0147435263   0.0168802663   
17   0.0079593654   0.0149785619   0.0155234283   
18   0.0081196177   0.0158546194   0.0147969301   
19   0.0088354224   0.0164849511   0.0142520552   
20   0.0094337058   0.0172541702   0.0125853928   
21   0.0096794268   0.0172648463   0.0127029081   
22   0.0101495050   0.0164849298   0.0121259837   
23   0.0111537670   0.0166238108   0.0122221318   
24   0.0110576092   0.0159720993   0.0106729934   
25   0.0119016148   0.0151921844   0.0101815401   
26   0.0121580181   0.0142413317   0.0100212811   
27   0.0119977582   0.0133973165   0.0094764103   
28   0.0122114268   0.0120298028   0.0092199989   
29   0.0120191164   0.0116451868   0.0088674349   
30   0.0108866446   0.0110682654   0.0085576059   
31   0.0111216813   0.0100960496   0.0090490510   
32   0.0111323613   0.0086858050   0.0085469167   
33   0.0100105750   0.0079272636   0.0094122892   
34   0.0097755320   0.0069123155   0.0083759734   
35   0.0098182637   0.0064636008   0.0085469093   
36   0.0083011848   0.0057157446   0.0079913581   
37   0.0076067466   0.0060789867   0.0082798143   
38   0.0071152979   0.0056943747   0.0082370778   
39   0.0068695728   0.0058759951   0.0080234034   
40   0.0062606046   0.0053952306   0.0085468992   
41   0.0062178688   0.0056409528   0.0087178353   
42   0.0056516355   0.0057371042   0.0087285171   
43   0.0051922387   0.0052242893   0.0092092779   
44   0.0047007913   0.0055020622   0.0098075584   
45   0.0044336999   0.0055341119   0.0091772232   
46   0.0044336990   0.0057798338   0.0093161083   
47   0.0040384045   0.0056302621   0.0086216718   
48   0.0038460988   0.0052242839   0.0078951849   
49   0.0038995161   0.0055020566   0.0080554375   
50   0.0037713121   0.0047862542   0.0074678379   
51   0.0036110574   0.0053524842   0.0072648482   
52   0.0032905488   0.0052883817   0.0072114290   
53   0.0035362710   0.0046046305   0.0075212521   
54   0.0033119148   0.0047435165   0.0075105672   
55   0.0035469534   0.0046900977   0.0079592769   
56   0.0033760153   0.0050212883   0.0073503108   
57   0.0036644717   0.0052349592   0.0085896059   
58   0.0040490802   0.0052776927   0.0082477295   
59   0.0038781421   0.0050747035   0.0085041340   
60   0.0040597623   0.0050533354   0.0079592697   
61   0.0038567735   0.0050106002   0.0089635249   
62   0.0042413817   0.0051388022   0.0082263562   
63   0.0044550524   0.0051174341   0.0074785042   
64   0.0036858341   0.0050212809   0.0077455923   
65   0.0036858334   0.0046687221   0.0078844773   
66   0.0032584898   0.0050319627   0.0077776403   
67   0.0033012236   0.0052883676   0.0072968783   
68   0.0027136267   0.0052135817   0.0071259400   
69   0.0032584882   0.0058011770   0.0072648252   
70   0.0029166135   0.0057370746   0.0063246702   
71   0.0029272966   0.0069336328   0.0059934788   
